text,timestamp,hashtags,time_bucket,sentiment_label,sentiment_score,sentiment_mapped,topic,hour_of_day,day_of_week,hashtag_#bitcoin,hashtag_#crypto,hashtag_#cryptomarket,hashtag_#trading
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
Bitcoin is reaching new all-time highs! 🚀,2024-04-01 00:00:00+00:00,"['#bitcoin', '#crypto']",2024-04-01 00:00:00+00:00,5 stars,0.8078905344009399,1,-1,0,0,1,1,0,0
Market correction incoming? Stay alert!,2024-04-01 00:10:00+00:00,"['#cryptomarket', '#trading']",2024-04-01 00:10:00+00:00,1 star,0.7006117701530457,-1,-1,0,0,0,0,1,1
